Name of Player,Position,Team,Games Played,At Bats,Runs,Hits,Doubles,Triples,HomeRuns,RBI,Walks,Strike Outs,Stolen Bases,Caught Stealing,Average,On Base Percentage,Slugging,On Base plus Slugging
Ian Miller,X,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HectorNeris,P,PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Nola,P,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emilio Pagan,P,SD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Parker,P,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Phelps,P,MIL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Rosenthal,P,SD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Strahm,P,SD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowan Wick,P,CHC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Winkler,P,CHC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Woodford,P,STL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
